mode,year,month,NrPassengers
Boat,2007,1,4
Bus,2007,1,335.819
Commuter Rail,2007,1,142.2
Heavy Rail,2007,1,435.294
Light Rail,2007,1,227.231
Private Bus,2007,1,4.772
RIDE,2007,1,4.9
Trackless Trolley,2007,1,12.757
Boat,2007,2,3.6
Bus,2007,2,338.675
Commuter Rail,2007,2,138.5
Heavy Rail,2007,2,448.271
Light Rail,2007,2,240.262
Private Bus,2007,2,4.417
RIDE,2007,2,5
Trackless Trolley,2007,2,12.913
Boat,2007,3,40
Bus,2007,3,339.867
Commuter Rail,2007,3,137.7
Heavy Rail,2007,3,458.583
Light Rail,2007,3,241.444
Private Bus,2007,3,4.574
RIDE,2007,3,5.5
Trackless Trolley,2007,3,13.057
Boat,2007,4,4.3
Bus,2007,4,352.162
Commuter Rail,2007,4,139.5
Heavy Rail,2007,4,472.201
Light Rail,2007,4,255.557
Private Bus,2007,4,4.542
RIDE,2007,4,5.4
Trackless Trolley,2007,4,13.444
Boat,2007,5,4.9
Bus,2007,5,354.367
Commuter Rail,2007,5,139
Heavy Rail,2007,5,474.579
Light Rail,2007,5,248.262
Private Bus,2007,5,4.768
RIDE,2007,5,5.4
Trackless Trolley,2007,5,13.479
Boat,2007,6,5.8
Bus,2007,6,350.543
Commuter Rail,2007,6,143
Heavy Rail,2007,6,477.032
Light Rail,2007,6,246.108
Private Bus,2007,6,4.722
RIDE,2007,6,5.6
Trackless Trolley,2007,6,13.323
Boat,2007,7,6.521
Bus,2007,7,357.519
Commuter Rail,2007,7,142.391
Heavy Rail,2007,7,471.735
Light Rail,2007,7,243.286
Private Bus,2007,7,3.936
RIDE,2007,7,5.253
Trackless Trolley,2007,7,13.311
Boat,2007,8,6.572
Bus,2007,8,355.479
Commuter Rail,2007,8,142.364
Heavy Rail,2007,8,461.605
Light Rail,2007,8,234.907
Private Bus,2007,8,3.946
RIDE,2007,8,5.308
Trackless Trolley,2007,8,13.142
Boat,2007,9,5.469
Bus,2007,9,372.598
Commuter Rail,2007,9,143.051
Heavy Rail,2007,9,499.566
Light Rail,2007,9,265.748
Private Bus,2007,9,4.329
RIDE,2007,9,5.609
Trackless Trolley,2007,9,14.393
Boat,2007,10,5.145
Bus,2007,10,368.847
Commuter Rail,2007,10,146.542
Heavy Rail,2007,10,457.741
Light Rail,2007,10,241.434
Private Bus,2007,10,4.315
RIDE,2007,10,5.806
Trackless Trolley,2007,10,14.622
Boat,2007,11,3.763
Bus,2007,11,330.826
Commuter Rail,2007,11,145.089
Heavy Rail,2007,11,488.348
Light Rail,2007,11,250.497
Private Bus,2007,11,4.081
RIDE,2007,11,5.667
Trackless Trolley,2007,11,13.624
Boat,2007,12,2.985
Bus,2007,12,312.92
Commuter Rail,2007,12,141.585
Heavy Rail,2007,12,448.268
Light Rail,2007,12,233.379
Private Bus,2007,12,3.708
RIDE,2007,12,5.062
Trackless Trolley,2007,12,12.41
Boat,2008,1,3.175
Bus,2008,1,340.324
Commuter Rail,2008,1,142.145
Heavy Rail,2008,1,472.624
Light Rail,2008,1,241.223
Private Bus,2008,1,4.122
RIDE,2008,1,5.535
Trackless Trolley,2008,1,13.902
Boat,2008,2,3.111
Bus,2008,2,352.905
Commuter Rail,2008,2,142.607
Heavy Rail,2008,2,492.1
Light Rail,2008,2,249.306
Private Bus,2008,2,4.079
RIDE,2008,2,5.704
Trackless Trolley,2008,2,14.172
Boat,2008,3,3.512
Bus,2008,3,361.155
Commuter Rail,2008,3,137.453
Heavy Rail,2008,3,494.046
Light Rail,2008,3,253.132
Private Bus,2008,3,4.175
RIDE,2008,3,6.164
Trackless Trolley,2008,3,14.394
Boat,2008,4,4.164
Bus,2008,4,368.189
Commuter Rail,2008,4,140.389
Heavy Rail,2008,4,513.204
Light Rail,2008,4,271.07
Private Bus,2008,4,4.144
RIDE,2008,4,6.263
Trackless Trolley,2008,4,14.722
Boat,2008,5,4.015
Bus,2008,5,363.903
Commuter Rail,2008,5,142.585
Heavy Rail,2008,5,507.952
Light Rail,2008,5,258.351
Private Bus,2008,5,4.079
RIDE,2008,5,6.279
Trackless Trolley,2008,5,14.427
Boat,2008,6,5.189
Bus,2008,6,362.962
Commuter Rail,2008,6,142.057
Heavy Rail,2008,6,518.349
Light Rail,2008,6,266.961
Private Bus,2008,6,4.4
RIDE,2008,6,6.294
Trackless Trolley,2008,6,14.515
Boat,2008,7,6.016
Bus,2008,7,370.921
Commuter Rail,2008,7,145.731
Heavy Rail,2008,7,512.309
Light Rail,2008,7,270.158
Private Bus,2008,7,4.548
RIDE,2008,7,6.028
Trackless Trolley,2008,7,14.392
Boat,2008,8,5.8
Bus,2008,8,361.057
Commuter Rail,2008,8,144.565
Heavy Rail,2008,8,476.99
Light Rail,2008,8,239.344
Private Bus,2008,8,4.286
RIDE,2008,8,6.148
Trackless Trolley,2008,8,13.716
Boat,2008,9,4.587
Bus,2008,9,389.537
Commuter Rail,2008,9,141.907
Heavy Rail,2008,9,517.324
Light Rail,2008,9,258.171
Private Bus,2008,9,4.878
RIDE,2008,9,6.503
Trackless Trolley,2008,9,15.109
Boat,2008,10,4.285
Bus,2008,10,357.974
Commuter Rail,2008,10,151.957
Heavy Rail,2008,10,523.644
Light Rail,2008,10,250.063
Private Bus,2008,10,4.556
RIDE,2008,10,6.678
Trackless Trolley,2008,10,13.014
Boat,2008,11,3.488
Bus,2008,11,345.423
Commuter Rail,2008,11,152.952
Heavy Rail,2008,11,487.115
Light Rail,2008,11,232.068
Private Bus,2008,11,4.302
RIDE,2008,11,6.41
Trackless Trolley,2008,11,12.596
Boat,2008,12,3.007
Bus,2008,12,325.767
Commuter Rail,2008,12,140.81
Heavy Rail,2008,12,446.743
Light Rail,2008,12,205.42
Private Bus,2008,12,3.42
RIDE,2008,12,5.957
Trackless Trolley,2008,12,11.91
Boat,2009,1,3.014
Bus,2009,1,338.532
Commuter Rail,2009,1,141.448
Heavy Rail,2009,1,461.004
Light Rail,2009,1,215.66
Private Bus,2009,1,3.584
RIDE,2009,1,5.991
Trackless Trolley,2009,1,12.301
Boat,2009,2,3.196
Bus,2009,2,360.412
Commuter Rail,2009,2,143.529
Heavy Rail,2009,2,482.407
Light Rail,2009,2,228.737
Private Bus,2009,2,3.604
RIDE,2009,2,6.708
Trackless Trolley,2009,2,9.645
Boat,2009,3,3.33
Bus,2009,3,353.686
Commuter Rail,2009,3,142.893
Heavy Rail,2009,3,467.224
Light Rail,2009,3,222.844
Private Bus,2009,3,2.586
RIDE,2009,3,6.675
Trackless Trolley,2009,3,11.674
